!!!!!ΣΗΜΑΝΤΙΚΑ!!!!!,,,,,,,,
1)  ΔΙΑΒΑΣΤΕ ΠΡΟΣΕΚΤΙΚΑ ΤΑ ΠΑΡΑΚΑΤΩ,,,,,,,,
"2) Το αρχείο πρέπει να έχει ΥΠΟΧΡΕΩΤΙΚΑ όνομα WinterSemesterκαι να είναι  Υπολογιστικό Φύλλο .csv διαχωρισμένο με ','(ΚΟΜΜΑ) στην εξαγωγή του αρχείου και UTF-8  κωδικοποίηση",,,,,,,,
"3) όταν κάνετε εξαγωγή, σιγουρευτείτε ότι το αρχείο ονομάζεται WinterSemester.csv (το .csv μπορεί να μην φαίνεται αλλά αυτήν την κατάληξη θα έχει το αρχείο).",,,,,,,,
"4) Οι ΚΩΔΙΚΟΙ ΜΑΘΗΜΑΤΟΣ (π.χ. ΗΥ-100), το ΗΥ να γράφεται με ελληνικούς χαρακτήρες και να έχει -(παύλα) στην μέση, ανάμεσα στα γράμματα και τους αριθμούς, ΧΩΡΙΣ κενό",,,,,,,,
5) ΔΕΝ ΑΛΛΑΖΟΥΜΕ ΤΗΝ ΣΕΙΡΑ ΤΩΝ ΣΤΗΛΩΝ,,,,,,,,
"6) Στα ΑΜΦΙΘΕΑΤΡΑ (π.χ. ΑΜΦ ΣΟ) γράφουμε με ελληνικούς χαρακτήρες ΑΜΦ, μετά κενό και μετά ΣΟ ή Α, με κεφαλαία.",,,,,,,,
"7) Οποιαδήποτε άλλη πληροφορία στην ημέρα, (π.χ. (ΦΡΟΝΤ)) γράφεται μετά την αναφορά της αίθουσας που θα γίνει κάποιο μάθημα, π.χ. ΑΜΦ ΣΟ (ΦΡΟΝΤ), με κενό μετά την αίθουσα",,,,,,,,
"8) Οι Υπόλοιπες αίθουσες διδασκαλίας, π.χ. Η.204, το γράμμα να είναι στα ελληνικά, μετά .(τελεία) και μετά ο αριθμός της αίθουσας, όλα κολλητά, χωρίς κενά",,,,,,,,
"9)Πάντα ελέγχουμε όταν κάνουμε αλλαγές, μετά από ένα 5-10λεπτο, ότι οι αλλαγές ανανεώθηκαν στην ιστοσελίδα και δεν υπάρχουν προβλήματα (Εννοείται ελέγχουμε μετά το ανέβασμα του αρχείου στο repository)",,,,,,,,
10) Ελέγχουμε το μενού με το πρόγραμμα του συγκεκριμένου εξαμήνου αν ανανεώθηκαν σωστά οι τιμές.,,,,,,,,
11) Ελέγχουμε ότι το αρχείο δεν έχει παράξενα σύμβολα μετά την εξαγωγή,,,,,,,,
12) ΔΕΝ ΑΛΛΑΖΟΥΜΕ ΠΡΙΝ ΚΑΙ ΤΗΝ ΓΡΑΜΜΗ 18. Επεξεργασία στις γραμμές από την ΓΡΑΜΜΗ 19 και κάτω.,,,,,,,,
13) ΔΕΝ αλλάζουμε την Γραμμή 18 - Κατηγορίες Στηλών,,,,,,,,
14) Κάνουμε εξαγωγή αρχείο CSV-Υπολογιστικό Φύλλο με UTF-8,,,,,,,,
"15) ΥΠΟΧΡΕΩΤΙΚΑ διαχωρισμένο με ','(ΚΟΜΜΑ): Εξαγωγή/Αποθήκευση Ως CSV UTF-8 (Comma delimited)",,,,,,,,
16) Το αρχείο πρέπει να είναι CSV και η τελική του ονομασία να είναι                           WinterSemester.csv (το.csv μπορεί να μην φαίνεται αλλά αυτήν την κατάληξη θα έχει το αρχείο).,,,,,,,,
Κωδικός Μαθήματος,Σύνδεσμος Μαθήματος,Όνομα Μαθήματος,Επώνυμο Καθηγητή,Δευτέρα,Τρίτη,Τετάρτη,Πέμπτη,Παρασκευή
ΗΥ-100,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=1,Εισαγωγή στην Επιστήμη Υπολογιστών,ΠΡΑΤΙΚΑΚΗΣ,,9-11 ΑΜΦ ΣΟ,,9-11 ΑΜΦ ΣΟ,1-3 ΑΜΦ ΣΟ (ΦΡΟΝΤ)
ΗΥ-108,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=2,Αγγλικά Ι,ΡΙΖΟΠΟΥΛΟΥ,,3-5 ΑΜΦ Α ,1-3 ΑΜΦ Α,,
ΗΥ-110,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=4,Απειροστικός Λογισμός Ι,ΤΣΑΓΚΑΤΑΚΗΣ,,11-1 ΑΜΦ ΣΟ,,11-1 ΑΜΦ ΣΟ,3-5 ΑΜΦ ΣΟ (ΦΡΟΝΤ)
ΗΥ-112,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=6,Φυσική Ι,ΚΑΦΕΝΤΖΗΣ,9-11 ΑΜΦ ΣΟ,,9-11 ΑΜΦ ΣΟ,,9-11 ΑΜΦ ΣΟ (ΦΡΟΝΤ)
ΗΥ-119,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=8,Γραμμική Άλγεβρα,ΚΟΜΟΝΤΑΚΗΣ,3-5 ΑΜΦ ΣΟ,,,3-5 ΑΜΦ ΣΟ,5-7 ΑΜΦ ΣΟ (ΦΡΟΝΤ)
ΗΥ-120,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=9,Ψηφιακή Σχεδίαση,ΚΑΤΕΒΑΙΝΗΣ,11-1 ΑΜΦ ΣΟ,,11-1 ΑΜΦ ΣΟ,,11-1 ΑΜΦ ΣΟ
ΗΥ-208,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=12,Αγγλικά ΙΙΙ,ΡΙΖΟΠΟΥΛΟΥ,,11-1 Η.210,,11-1 Η.210,
ΗΥ-217,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=15,Πιθανότητες,ΤΣΑΚΑΛΙΔΗΣ,9-11 ΑΜΦ Α,,9-11 ΑΜΦ Α,,9-11 ΑΜΦ Α (ΦΡΟΝΤ)
ΗΥ-240,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=17,Δομές Δεδομένων,ΚΟΝΔΥΛΑΚΗΣ,,1-3 ΑΜΦ ΣΟ,,1-3 ΑΜΦ ΣΟ,11-1 ΑΜΦ Α (ΦΡΟΝΤ)
ΗΥ-252,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=18,Αντικειμενοστρεφής Προγραμματισμός,ΤΖΙΤΖΙΚΑΣ,,9-11 ΑΜΦ Α,,9-11 ΑΜΦ Α,3-5 ΑΜΦ Α (ΦΡΟΝΤ)
ΗΥ-280,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=20,Θεωρία Υπολογισμού,ΠΛΕΞΟΥΣΑΚΗΣ / ΒΑΡΣΟΣ,1-3 ΑΜΦ ΣΟ,3-5 ΑΜΦ ΣΟ,,,1-3 Α.113 (ΦΡΟΝΤ)
