AAAAAΚωδικός Μαθήματος,Σύνδεσμος Μαθήματος,Όνομα Μαθήματος,Επώνυμο Καθηγητή,Δευτέρα,Τρίτη,Τετάρτη,Πέμπτη,Παρασκευή
ΔΙΑΒΑΣΤΕ ΠΡΟΣΕΚΤΙΚΑ ΤΑ ΠΑΡΑΚΑΤΩ,,,,,,,,
Στους Κωδικούυς Μαθήματος γράφουμε ΗΥ στα ελληνικά με παύλα χωρίς κενό(-) και τον αριθμό του μαθήματος,,,,,,,,
Στο Όνομα Μαθήματος γράψτε το όνομα του μαθήματος όπως θέλετε,,,,,,,,
Στο Επώνυμο Καθηγητή γράψτε τα στοιχεία του όπως επιθυμείτε π.χ. όπως στο πρόγραμμα,,,,,,,,
ΠΡΟΣΟΧΗ!!!!!!!!!! Στην αναγραφή των αιθουσών σιγουρευτείτε ότ τα γράμματα είναι στα ΕΛΛΗΝΙΚΑ,στα αμφιθέατρα να έχει κενό το ΑΜΦ με το Α και το ΣΟ,και οι υπόλοιπες αίθουσες να αναγρλαφονται με ΕΛΛΗΝΙΚΟ γράμμα και τελεία ανάμεσα στο ΓΡΑΜΜΑ και τον αριθμό(δείτε όπως είναι ήδη),,,,,,
ΗΥ-100,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=1,Εισαγωγή στην Επιστήμη Υπολογιστών,ΠΡΑΤΙΚΑΚΗΣ,,10-12 ΑΜΦ ΣΟ,,10-12 ΑΜΦ ΣΟ,2-4 ΑΜΦ ΣΟ (ΦΡΟΝΤ)
ΗΥ-108,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=2,Αγγλικά Ι,ΡΙΖΟΠΟΥΛΟΥ,,4-6 Η.204,,12-2 Η.204,
ΗΥ-110,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=4,Απειροστικός Λογισμός Ι,ΤΣΑΓΚΑΤΑΚΗΣ,,2-4 ΑΜΦ Α,,2-4 ΑΜΦ Α,4-6 ΑΜΦ ΣΟ (ΦΡΟΝΤ)
ΗΥ-112,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=6,Φυσική Ι,ΚΑΦΕΝΤΖΗΣ,10-12 ΑΜΦ ΣΟ,,10-12 ΑΜΦ ΣΟ,,10-12 ΑΜΦ ΣΟ (ΦΡΟΝΤ)
ΗΥ-119,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=8,Γραμμική Άλγεβρα,ΚΟΜΟΝΤΑΚΗΣ,4-6 ΑΜΦ ΣΟ,,,4-6 ΑΜΦ ΣΟ,6-8 ΑΜΦ ΣΟ (ΦΡΟΝΤ)
ΗΥ-120,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=9,Ψηφιακή Σχεδίαση,ΚΑΤΕΒΑΙΝΗΣ,12-2 ΑΜΦ ΣΟ,,12-2 ΑΜΦ ΣΟ,,12-2 ΑΜΦ ΣΟ
ΗΥ-208,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=12,Αγγλικά ΙΙΙ,ΡΙΖΟΠΟΥΛΟΥ,,12-2 Η.204,,2-4 Η.204,
ΗΥ-217,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=15,Πιθανότητες,ΤΣΑΚΑΛΙΔΗΣ,10-12 ΑΜΦ Α,,10-12 ΑΜΦ Α,,10-12 ΑΜΦ Α (ΦΡΟΝΤ)
ΗΥ-240,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=17,Δομές Δεδομένων,ΦΑΤΟΥΡΟΥ,,2-4 ΑΜΦ ΣΟ,,12-2 ΑΜΦ ΣΟ,12-2 ΑΜΦ Α (ΦΡΟΝΤ)
ΗΥ-252,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=18,Αντικειμενοστρεφής Προγραμματισμός,ΤΖΙΤΖΙΚΑΣ,,10-12 ΑΜΦ Α,,10-12 ΑΜΦ Α,4-6 ΑΜΦ Α (ΦΡΟΝΤ)
ΗΥ-280,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=20,Θεωρία Υπολογισμού,ΠΛΕΞΟΥΣΑΚΗΣ / ΒΑΡΣΟΣ,2-4 ΑΜΦ ΣΟ,,2-4 ΑΜΦ ΣΟ,,2-4 Α.113 (ΦΡΟΝΤ)
ΗΥ-330,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=79,Εισαγωγή στη Θεωρία των Τηλεπικοινωνιακών Συστημάτων,ΤΡΑΓΑΝΙΤΗΣ /ΠΑΠΑΔΑΚΗΣ ΣΤ.,10-12 Α.125,,,10-12 Α.125,
ΗΥ-335,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=21,Δίκτυα Υπολογιστών,ΠΑΠΑΔΟΠΟΥΛΗ,12-2 ΑΜΦ Α,,12-2 ΑΜΦ Α,,12-2 Α.117 (ΦΡΟΝΤ)
ΗΥ-345,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=23,Λειτουργικά Συστήματα,ΜΑΡΚΑΤΟΣ,,4-6 ΑΜΦ Α,,4-6 ΑΜΦ Α,2-4 ΑΜΦ Α (ΦΡΟΝΤ)
ΗΥ-352,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=92,Τεχνολογία Λογισμικού,ΣΑΒΒΙΔΗΣ,10-12 Α.121,12-2 Α.125 (ΦΡΟΝΤ),,,10-12 Α.125
ΗΥ-358,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=93,Γραφική,ΑΡΓΥΡΟΣ / ΚΑΜΑΡΙΑΝΑΚΗΣ,,6-8 ΑΜΦ Α (ΦΡΟΝΤ),6-8 ΑΜΦ Α,6-8 ΑΜΦ Α,
ΗΥ-359,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=94,Διαδικτυοκεντρικός Προγραμματισμός,ΜΟΥΝΤΑΝΤΩΝΑΚΗΣ,2-4 Α.113,,2-4 Α.113 (ΦΡΟΝΤ),2-4 Α.113,
ΗΥ-360,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=24,Αρχεία και Βάσεις Δεδομένων,ΚΟΝΔΥΛΑΚΗΣ,4-6 ΑΜΦ Α,,4-6 ΑΜΦ Α,,4-6 Α.113 (ΦΡΟΝΤ)
ΗΥ-370,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=80,Ψηφιακή Επεξεργασία Σημάτων,ΚΑΦΕΝΤΖΗΣ,10-12 Α.113 (ΕΡΓ/ΡΙΟ),10-12 Α.113,,10-12 Α.113,
